epoch,loss,val_loss
0,289.31049187723795,279.6867604248047
1,276.294185059611,277.68876746826174
2,274.17440521443683,275.096607043457
3,273.0992156962077,273.9590518371582
4,272.4953981801351,273.3209149597168
5,272.0770670206706,273.3716623535156
6,271.8288136454264,271.89056856689456
7,271.4772829661051,272.9920275695801
8,271.24859716796874,273.10514212646484
9,271.10023944803874,275.1841317321777
10,271.13029229736327,271.6582971496582
11,271.0007347137451,273.4662226806641
12,270.92937703043617,272.2477038146973
13,270.80159991353355,271.27930193481444
14,270.77970594889325,272.06895097045896
15,270.7331771077474,272.0895761352539
16,270.71410487263995,272.12730126953124
17,270.7285082336426,271.1157307495117
18,270.72017693990074,273.075737512207
19,270.88930348205565,271.38614244384763
20,270.8326814575195,271.8127551269531
21,270.8655917938232,272.24205155029296
22,270.80475114542645,271.5107937866211
23,270.7740696339925,272.436510546875
24,270.7023990895589,273.4932552734375
25,270.6884146982829,271.30100241088866
26,270.8463757822673,271.0335305908203
27,270.45887095540365,273.2556331848144
28,270.58882544250486,277.3671256469727
29,270.57900491841633,272.69013757934573
30,270.5868829437256,274.0721255554199
31,270.4884906300863,271.6249876037598
32,270.4954994893392,271.4702647216797
33,270.4556869354248,271.55098300170897
34,270.39383924153645,272.49685961914065
35,270.3739619954427,275.14451336669924
36,270.4275161682129,273.29397130737306
37,270.42209439900716,271.1521899719238
38,270.48674453430175,273.65450673828127
39,270.45916903177897,272.20058294677733
40,270.40442146199547,272.78466038208006
41,270.3524904968262,274.0714975463867
42,270.28659042256675,271.3371091003418
43,270.38882237243655,272.37000905151365
44,270.3937247996012,272.12456177368165
45,270.34282771809893,270.7693821472168
46,270.4606714304606,271.3606260253906
47,270.34116790771486,273.3993950744629
48,270.3263639353434,272.187587298584
49,270.29211509297687,276.84282998046876
50,270.3695313649495,272.59277021484377
51,270.27484008382163,273.47518555908204
52,270.26246506958006,270.2576468078613
53,270.24634093119306,273.195353112793
54,270.2473966725667,277.9381364135742
55,270.27350780131025,271.2043538269043
56,270.23660902811685,279.3489610595703
57,270.2474615152995,272.0115787414551
58,270.1545546895345,272.2270893432617
59,270.35037619628906,270.87225062866213
60,270.3943162770589,272.26845006103514
61,270.07337946980795,273.80115989990236
62,270.0635072377523,271.29730175170897
63,270.1226851409912,276.3308262023926
64,270.06272791137695,272.8152049926758
65,270.2302286102295,271.4775974487305
66,270.0163600870768,274.0085633117676
67,269.9931788492839,270.28456815185547
68,270.24072682291666,274.1129681640625
69,269.9884840464274,270.2133489990234
70,269.95348524881996,271.33404937744143
71,269.9925732493083,271.4927094238281
72,269.8709424041748,270.50400345458985
73,269.94368881835936,272.7649470031738
74,269.9822157948812,270.9799900146484
75,269.94759340820315,271.21517694702146
76,270.29134548339846,270.9010247192383
77,269.85163157552086,270.43091065673826
78,269.8438665496826,270.94588626708986
79,269.9616094431559,270.1216454772949
80,269.7396641031901,272.59834212036134
81,269.81513071899417,271.8711948486328
82,269.82258721313474,270.5192940795898
83,269.7820675587972,271.54132407836914
84,269.82694403889974,270.954782409668
85,269.8178716756185,269.53453526611327
86,269.8653588450114,270.14067544555667
87,269.7678287536621,270.22356111450193
88,269.9214623647054,271.4243460571289
89,270.3012257181803,273.77850057373047
90,269.8586308654785,270.77091372680667
91,269.7507265625,271.137766796875
92,269.8358224802653,270.9919972290039
93,269.6479687632243,271.106687298584
94,269.8596878346761,270.44750009155274
95,269.6433464416504,273.82452908325195
96,269.7723178059896,278.340687689209
97,269.7074135253906,270.9095291259766
98,269.7453211669922,273.9996512634277
99,269.7254679941813,270.27119340820315
